bedrooms,bathrooms,area,zipcode,mosaic_image,price
4,4,4053,85255,0.png,869500
4,3,3343,36372,1.png,865200
3,4,3923,85266,2.png,889000
5,5,4022,85262,3.png,910000
3,4,4116,85266,4.png,971226
4,5,4581,85266,5.png,1249000
3,4,2544,85262,6.png,799000
4,5,5524,85266,7.png,1698000
3,4,4229,85255,8.png,1749000
4,5,3550,85262,9.png,1500000
5,5,4829,85266,10.png,519200
4,4,3428,85255,11.png,1039000
5,3,5462,85266,12.png,799000
4,4,4021,85266,13.png,889000
5,5,4406,85266,14.png,700000
4,4,3721,85255,15.png,500000
5,3,3710,85331,16.png,740000
3,4,2748,85255,17.png,725000
5,4,4190,85255,18.png,1199000
3,3.5,4143,85266,19.png,925000
3,3.5,4229,85255,20.png,1749000
6,6.5,5963,85262,21.png,1595000
3,3,2685,85255,22.png,799900
5,5,5677,85377,23.png,1375000
4,4.5,4031,85262,24.png,1345000
4,4,4954,85262,25.png,1290000
4,4.5,3550,85262,26.png,962500
5,4.5,4180,85266,27.png,875000
4,4,4464,85377,28.png,1650000
5,4.5,4829,85266,29.png,1199000
5,3,2520,93446,30.png,789000
4,3.5,3428,85255,31.png,1039000
3,2,1802,93446,32.png,365000
3,3.5,2873,85262,33.png,1695000
4,4,3260,85377,34.png,999000
3,4.5,3893,85255,35.png,1294000
5,5.5,3932,85262,36.png,1089000
3,3.5,2792,85255,37.png,799900
3,4.5,4228,85255,38.png,1229000
3,3,2146,93446,39.png,455000
4,1,9583,98021,40.png,395000
5,2,7627,98021,41.png,638940
3,2,2153,98021,42.png,435000
3,2.5,2014,98021,43.png,528800
4,2,1928,81524,44.png,350000
3,3,2134,81524,45.png,425000
4,3,2504,81524,46.png,500000
3,3,2462,81524,47.png,589900
4,3,3904,81418,48.png,419000
3,2,2034,81418,49.png,415000
3,2,1594,81521,50.png,214900
4,2,2957,81524,51.png,699900
3,3,1894,81524,52.png,449000
4,2,2128,81524,53.png,249900
5,3,3267,81524,54.png,595999
3,3,2836,81524,55.png,535000
4,3,2174,81524,56.png,439900
3,2,1508,81524,57.png,450000
3,2,2288,62214,58.png,196000
